プラットフォーム等コード,プラットフォーム名等
JJP124,ROITH
JJP125,EMILE
JJP126,GYPSOQUE
JJP127,JOUONDOU
JJP128,LOM.
JJP129,EDC FIDGET
JJP130,SENSE EASE
JJP131,BOYC
JJP132,DALI/DAILY LIFE NOIZE
JJP133,NATURE STAWINK
JJP134,LIENPLUS
JJP135,LUPINAIL
JJP136,LOWGARAGE
JJP137,NERINEIS
JJP138,LYNK.
JJP139,SNAPS
JJP140,OHPRINT.ME
JJP141,URBAN GROW
JJP142,PEAK BLUE
JJP143,NOSTALICA
JJP144,K-RAD
JJP145,AT SEOUL
JJP146,WEVERSE SHOP GLOBAL
JJP147,MJ-SHOP
JJP148,URBAN CYPHER
JJP149,SUG POINT
JJP150,ANUA
JJP151,IRODORI
JJP152,ICELUXE
JJP153,STAKE
JJP154,SIXICE
JJP155,GENZ MONSTER
JJP156,CHROME HEADS
JJP157,MOILUX
JJP158,HONEY MY DAYS
JJP159,GROOVY JAPAN
JJP160,COSPLAYDONYA
JJP161,LARDOO
JJP162,COSONSEN
JJP163,YUKICOS
JJP164,UNIDRE
JJP165,IROMUSUBI
JJP166,MERCI LATTE
JJP167,COKO
JJP168,ICE LUXE
JJP169,NINUFA
JJP170,AIFY
JJP171,PALUN
JJP172,CHUBBY BEAR
JJP173,EISU
JJP174,MYCASE
JJP175,INSCASE
JJP176,RUMIRU
JJP177,GADGETLABO
JJP178,FANCY
JJP179,NEOARCHIVE
JJP180,COMU NOIR EDGE
JJP181,SALANG.JP
JJP182,AREUMDAUM.JP
JJP183,POMULUA
JJP184,CRAMMY
JJP185,PORTERRA
JJP186,MAIA
JJP187,BELLPAGE
JJP188,GIRLS BE GIRLS
JJP189,BUONAVITA
JJP190,NOT-SHOP.COM
JJP191,BELTIES
JJP192,SMASHOL
JJP193,ESTER CODE
JJP194,BUILT NOT BORN
JJP195,STELLA FIORE
JJP196,OMUNOOUCHI
JJP197,VIA ROUGE
JJP198,MANANA VILLAGE
JJP199,JEWEL CHANCE
JJP200,RAVEN
JJP201,LU MENOUS
JJP202,LIE NIR
JJP203,LULULANA
JJP204,LINOE
JJP205,REMTY
JJP206,BLISS
JJP207,VOL.ME
JJP208,KOCHIITN
JJP209,LE CADEAU
JJP210,SO3
JJP211,FREEBOX
JJP212,LE PONT
JJP213,THE ETO
JJP214,ATHRO FIT
JJP215,99YOGA
JJP216,CHIKO917
JJP217,COCOSMILE
JJP218,CHAMPEE
JJP219,JOPPY
JJP220,ELENERO
JJP221,AVANCELAB
JJP222,HIGH-LIFE
JJP223,HOOPERS
JJP224,AERISS
JJP225,BRIGHT ONLINE
JJP226,MERAVIOGGI
JJP227,2..LITR
JJP228,DAILY CLOSET
JJP229,FEEL UP!!
JJP230,COCOMEL
JJP231,LIBERD
JJP232,PETITANGE
JJP233,R.QUEEN
JJP234,SORTIANTE
JJP235,LUEUR
JJP236,RILASTA
JJP237,NOIRYS
JJP238,YUMEKAWAGIRL
JJP239,BONNY ME
JJP240,NUEE
JJP241,TOKKO'S CLOSET
JJP242,BEST STYLE
JJP243,PANDA ZUQUUUN!
JJP244,INHOMETION
JJP245,MADMIMI
JJP246,I.C.LIVING
JJP247,CRAYTH
JJP248,PASTEL CANDY
JJP249,FLEULIA
JJP250,RECCIA
JJP251,FITELLA
JJP252,COVERGRACE
JJP253,SKURTIA
JJP254,CHOCLIE
JJP255,JEANELLE
JJP256,COCO-CHI
JJP257,PIRAWARE
JJP258,Y-BOUEKI
JJP259,TWINKLE BOX
JJP260,SPARKJOY
JJP261,MODAMUSE
JJP262,ORIENTAL WIND
JJP263,QOOZA
JJP264,SOSOS DESIGN
JJP265,LUXE TEE
JJP266,COCOTTE & MEW
JJP267,DECO&ROOM
JJP268,LUVCHAIN
JJP269,MIRAIHAIR
JJP270,MIRAGE
JJP271,LUXERA
JJP272,LOVEMEMO
JJP273,FABULOVE
JJP274,MOKOFUWA
JJP275,HUGDY
JJP276,CURULIA
JJP277,MURO
JJP278,SNEAK8R
JJP279,LUCHY
JJP280,MONSTER GUARDIANS
JJP281,M'S CLOSET
JJP282,KURONYAN
JJP283,GRAMU
JJP284,CHURACHURA
JJP285,FESALIA
JJP286,CHERIE ANGE
JJP287,KXCK
JJP288,CRAFT.MEOW
JJP289,SUYAA
JJP290,11AM
JJP291,ULULU
JJP292,BLACKOUT
JJP293,OLD SPORT
JJP294,WEALLGOOD
JJP295,CHIC&THINGS
JJP296,MAIDOSHOP
JJP297,QUINCEMAPLE.BASE.SHOP
JJP298,RE:BLOOM BY ICL
JJP299,FULL-SWING BDMT
JJP300,TIAD STORE
JJP301,UUU
JJP302,SORIN STORE
JJP303,IVONIR
JJP304,GRAMARIA
